Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,1000,14657,14742,23317,23637,24077,17,24431,"0,00%","35,6","13,9"
TOTAL,1000,14657,14742,23317,23637,24077,17,24431,"0,00%","35,6","13,9"
