Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,1000,11600,10829,17905,18489,19363,3,20277,"0,00%","43,6","10,0"
TOTAL,1000,11600,10829,17905,18489,19363,3,20277,"0,00%","43,6","10,0"
