Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
HTTP Request,1000,8744,9603,16256,17521,18165,113,18325,"0,00%","43,4","10,0"
TOTAL,1000,8744,9603,16256,17521,18165,113,18325,"0,00%","43,4","10,0"
